PA/gchi+	Very
maandaa	miraculous
maanoo	regardless
maanpii	here
mbanegaat	unipedal
mbaneyiing	lateral
mchisak	grounded
megwaa	presently
megwaach	likely
megwey'iing	central
megyaak	sylvan
megyaak	sylvan
megyaakwaang	sylvan
megyaakwaang	sylvan
memdage	especially
memdage	especially
memeshkot	alternating
memkaach	obliged
memmiin	spotty
mensaadkamik	disgracefully
meshkot	substitute
mewnzha	anciently
mii	thus
mii'sh	consequently
miinwaa	additionally
mji-mnidoonaang	infernal
mma'iing	exposed
mmaandaa	miraculous
mmemmiin	spotty
mnik	plentiful
mno-pii	opportune
msawaa	despite
mshi	still
mtakmik	grounded
mtashkamik	grounded
myaa	precisely
myaaw	spot
myaawdib	bullseye
myaawyi'iing	centered
mzhisha	observable
mzhishi	visible
mzhishik	solely
mzi	ubiquitous
n'gika	effortlessly
naabna	doubtful
naagach	subsequently
naage'ii	remote
naamaabik	subterranean
naamaatik	arboreal
naamaazhbik	subterranean
naambiing	subaqueous
naamkamik	subterranean
naamnagaakzit	pedal
naamsagong	sublevel
naamyi'ii	bottom
naamyi'iing	bottom
naan'godnong	occasionally
naan'itaa	fortuitously
naanaadwiy'iing	bilateral
naanaash	nearly
naanaawgaakgan	pectoral
naanaawgaam	central
naanaawgatik	frontal
naanaawgwiyiing	central
naanaawmiikan	central
naanaawsak	central
naanaawyi'iing	central
naanben	forced
naanbena	inopportune
naangim	until
naanidaa	fortuitously
naanimye	recently
naasaap	similarly
naawgaam	central
naawgatik	frontal
naawigtigaan	central
naawij	aquatic
naawinj	central
naawyi'ii	central
naawyi'iing	central
nake	specifically
nakeyaa	specifically
nakweyiing	tip
nakweyiing	terminal
nango	today
nawach	diverse
nawgiizhik	suspended
ndaashti	local
ndaawaach	alternatively
ndawaa	alternatively
ndawaach	alternatively
negaach	tenderly
nengaach	tenderly
neniish	paired
nenshike	individually
neyaap	revert
neyiizh	dual
ngo-aabtaa-dbik	nocturnal
ngo-dbaabaan	mile
ngo-dbaabaan	mile
ngo-naawkwe	semidiurnal
ngodaabaan	load
ngodbaabaan	redirect
ngodbaabaan	redirect
ngodbik	overnight
ngoding	eventually
ngodnaagaans	cupful
ngodnaagan	plateful
ngodnik	span
ngodninch	width
ngodoopwin	tableful
ngodooshkin	bagful
ngodsak	barrelful
ngodwaakwaagan	span
ngodwemkwaan	spoonful
ngodzit	foot
ngoji	anywhere
ngona	resultantly
ni-ngo-bboon'gak	annually
ni-ngo-dba'giiswaan'gak	hourly
ni-ngo-giisagak	monthly
ni-ngo-nam'egiizhgak	weekly
ni-waabang	tomorrow
nigwa	until
niibaadbik	nightly
niibwa	abundant
niigaan	foremost
niinwi	acknowledged
niisaajwan	downstream
niisaaki	decline
niisyi'ii	beneath
niisyi'iing	beneath
niiygon	redirect
niizhkiins	acreage
nike	specifically
nikekmik	borderline
nikey'iing	directional
nikeyaa	directional
nina	scattered
nishaa	gratuitously
nishgo	although
njida	intentionally
njiiyenh	adjacent
nmaanwaang	cheeky
nnaasa	occasionally
nnaash	protracted
nongo	today
nooch	diverse
nookming	rural
noomya	recently
noondaa-dbik	midnight
noondaa-naagshik	evening
noondaash	sub
noongo	today
noongom	today
noopming	in.the.bush
nshike	solo
nshkwaach	final
nsidam	regretful
nsodbik	trinightly
ntam	initial
nwaagshkaa	roll
nwanj	greater
nwesh	long-term
nyaangim	until
nzaam	because
odi	there
oodi	there
pane	constantly
pii	timely
piich	eventually
piichin	continuously
pipiichin	occasionally
pooch	obligatory
pooj	still
sha	emphatic
shawekna	roadside
shaweyiing	adjacent
shaweyiing	adjacent
shkwaach	ultimate
shkwaay'iing	behind
shkwaayaaj	last
shkweyaang	final
shpide-dbik	nocturnally
shpiming	elevated
shpimsagoong	upstairs
swii	albeit
waabang	tomorrow
waabnong	eastern
waakwiing	celestial
waasa	distant
waawaach	evenly
waawaanak	timely
waawiikaa	rarely
wadi	there
was-odi	distant
was-oodi	distant
washme	more
washta	farther
wasnaago	ere-yesterday
waswaabang	overmorrow
wenbik	briefly
wendgo	virtually
wewena	carefully
weweni	well
wewenong	spacious
wewiip	swiftly
widi	there
wiiba	early
wiikaa	seldom
wiinge	wholly
wnjida	intentionally
yaawnaadkamik	extremely
yawenh	ouch
yekwaay'iing	terminal
yeshkat	initially
yeyiidooy'ii	bilateral
yeyiidwagaat	bipedal
yeyiidwikna	roadside
yeyiidwinik	bilateral
yeyiidwiy'iing	bilateral
zaagda	offshore
zaagjiy'iing	external
zaam	excessively
zhaawnong	southern
zhaazhi	already
zhaazhwaach	somewhat
zhanda	here
zhebaa	morning
zhgo	imminent
zhi-dbishkoo	parallel
zhigwek	directly
zhiw	there
zhiwi	there
zhoozhoobnakong	treetop
zhyaaw	straight
ziingaak	corner
aaning	some
gegwa	don’t
de-mnik	ample
waawaasa	far
kawe	primarily
gnamaa	incase
gchi-gaaming	overseas
wenpanzh	handy
aagwigmik	rear
aagwiyiing	behind
mno-mnik	sufficient
mno-nish	beneficial
mno-nish	beneficial
aaniipiish	where
aabdik	definitely
niizh-zhinin	quarter
aabtaya'ii	central
aanwak	anyhow
baamaapii	subsequently
babiijin	always
bboonong	last-year
bebesho	adjacent
bgojiing	wilderness
biinjiiy'ii	interior
dching	repeatedly
ddibew	riverside
dgwaagong	last-autumn
endso-niibing	annually
gaawiin	no
gbe-dgwaagi	throughout
piichi-gbey'iing	duration
ggi	including
gidaabik	summit
gidbak	rooftop
giinnangna	now
giizhaa	prior
gijya'ii	atop
gijya'iing	atop
gmaa	substantial
gnage	least
gego	don’t
gniinaa	told-you
gtakmigaang	mainland
jiigaajwan	riverside
kewesh	currently
maa	there
gnige	atleast
maamnik	duration
aapiichiin	periodically
niibnong	last-summer
mbe	instantly
megyaakwaa	forested
aabtawdaaki	midhill
aabtawkana	midway
aasmadin	hillside
aasmisak	wallside
aazhoodaaki	overhill
bgodaakwaa	deep-forest
biinjna	internal
dbigiishk	silent
de-mno-mnik	adequate
ekwaa-oodenaw	outskirts
truck	truck
pizza	pizza
pie	pie
mbacon	bacon
mbus	bus
meskwaanzo	vermilion
gchi-zhashkwedo	lifebelt
zhaangwesh	mink
waawaashkesh	deer
maawmaaw	eyebrow
n'ka	goose
n'ka	goose
zhegaagom	parasite
daalii	doll
zaaday	poplar
wiishkbinnii	sweet-tooth
jiibay	ghost
ginii	rose
gaaway	quill
biiway	fur
baapaas-ledii	fashionable
Gchi-bboon-giizis	December
Mdaamin-giizis	September
Miin-giizis	July
Mko-giizis	February
Naaban-giizis	February
Naabni-giizis	February
Nmebin-giizis	January
Nmebni-giizis	January
Waawaaskone-giizis	May
Ziizbaakdoke-giizis	March
baakwaanaatik	sumac
baapaashkwaatik	balsam
bepeshignebik	snake
bgaanaak	walnut
bgesaanaatik	plum
biigjiisak	rotten
Bnaakwe-giizis	October
Bnaakwii-giizis	October
bsagaak	board
bwaayaak	ash
daabaanaatik	runner
Datgaagmin-giizis	August
dbik-giizis	moon
Dewmin-giizis	June
doodem-mtik	totem
emkwaansaak	ash
gaabgebak	pine
gaadi-gnebik	snake
gaawaandak	spruce
gaawaandgwaatik	spruce
giizhkaandag	cedar
Gshkadin-giizis	November
jiibaakwe-kik	pot
Jiibyaabooz	Chebayaubos
kaad-kik	cauldron
giizis	sun
Gtige-giizis	June
jiibyaatik	cross
kaada-gnebik	reptile
wenda-gnebik	snake
gnebik	serpent
kaadi-gnebik	reptile
maamaang	eyebrow
maanan	ironwood
mshiimnaatik	apple
mshkiigwaatik	tamarack
mtik	tree
nbagsak	plank
niigaanaasnok	star
ninaatik	maple
pakweyashk	cattail
waayaak	hickory
wiigbaatik	basswood
wiigbiishaatik	basswood
wiigwaasminaatik	cherry
wiisgaak	ash
zaswemnaatik	chokecherry
zhibii'ganaatik	pen
zhngwaak	pine
zhooshkjiwaanaatik	ski
waabminaatik	apple
mdaamnashk	husk
Nenbosh	Nenabosh
pakyashk	cattail
wiigwaaso-mtik	birch
mkinaak	turtle
mtigwaabaak	hickory
nim	dog
ninaatik	maple
wiigwaasaatik	birch
yaabesim	dog
zhiishiib-kik	kettle
biiwaanak	flint
nang	star
waaboos	rabbit
wiigwaatik	birch
moos	moose
pinaatik	potato
mko	bear
aandek	crow
amik	beaver
bbik	flea
bjaak	penis
dawgomek	salamander
detebkinaak	turtle
eyebik	daddy-longlegs
gaak	porcupine
gaawnzik	merganser
gchi-gaawnzik	merganser
giigaang	woman
gnebgomeg	lamprey
gyaashk	gull
jiik	fisher
kanaak	cob
kik	kettle
mik	beaver
mji-jichaak	demon
mno-jichaak	angel
mzisaak	horsefly
ngig	otter
signaak	blackbird
waab-gaak	porcupine
waab-gekek	hawk
waab-signaak	bobolink
waak	roe
wjiik	fisher
wzhashk	muskrat
zhashk	muskrat
zhngomeg	bowfin
ezgaak	tick
dik	caribou
giizhkan'gek	bark
maang	loon
mshigekek	hawk
nagek	bark
zhgaak	skunk
zhigmeg	dogfish
menmeg	catfish
maanmeg	sturgeon
dikmek	whitefish
giiwse-nini	hunter
giigoonykewnini	fisherman
btashkaanzhe	rail
bgiw	gum
bgoji-bzhiki	bison
biikokwaawesi	cuckoo
bne	partridge
bnesi	thunderbird
btashkaanzhe	snipe
bzhiki	cow
bzhiw	lynx
daakewnini	pilot
daawenini	clerk
daawewnini	clerk
dbaabnjigewnini	umpire
dbaaknigewnini	judge
dgow	wave
dkonwewnini	policeman
gaawaandga-bgiw	gum
gkenjgewnini	witness
gnoodmaagenini	lawyer
gtige-nini	farmer
Gweshkw'iwesi	Winged-Startler
jiigaawesi	cricket
jiindiisi	bluejay
jiiskiiwnini	conjuror
kawaabiiwnini	guard
kinoomaagewnini	teacher
maanjiinoo-nini	magician
maashtaanshiiwnini	shepherd
mandaagnini	gentleman
mdewnini	healer
memengwesi	elf
memeskniin'si	blackbird
mgizi	eagle
miigaazoownini	warrior
mkade-bgiw	tar
mkadewnini	man
mookdaasoonini	carpenter
mooshk'osi	bittern
mshibzhiw	lion
mshkikiiwnini	doctor
mzinbii'gewnini	artist
naabkwaanshiin-nini	sailor
Naadwesi	Native
nam'ewnini	brother
nbwaakaawnini	sage
nepaajnikesi	mole
nini	man
oojiigaawesi	cricket
pichi	robin
pishkisi	goose
shagi	heron
shkiniigi	youth
waawaashkesh	deer
waawaashkeshi	deer
waawaatesi	firefly
wiimbnakzi	hollow
zhaangwesh	mink
zhaangweshi	mink
zhaashaawnibiisi	swallow
zhaawshkzi	greenery
zhigewnini	builder
zhoodaawnini	jew
ziignigewnini	bartender
giishkaankwezhoonini	barber
shkode-bzhiki	buffalo
mookdaasoownini	carver
gaagiigdoownini	councillor
moozhwenini	barber
mshkiigonini	cree
wiibdaa-mshkikiiwnini	dentist
mskwaadesi	turtle
biimskwaabka'gewnini	engineer
gchi-daawewnini	factor
gchi-nini	adult
gtigewnini	farmer
n'gamoonini	singer
zhooshkwaadenini	skater
bgoji-nini	elf
bnesi	eagle
dbakiinini	surveyor
gwaabgesi	mullet
memeskniniisi	hawk
Mshibzhiw	Panther
mzinbiigewnini	artist
naadwesi	snake
naabe-bzhiki	bull
kwe	woman
mshkode-bne	bobwhite
giishkaankwezhookwe	barber
gaagiidoowkwe	councillor
mookdaasoowkwe	carver
mshkiigokwe	cree
gchitwaa-nini	gentleman
dbadoonh	button
ekwaabiinh	policeman
aabtooziinh	mixed
aad'oomoonh	paddler
aamoonh	bee
aan'koosenh	sleigh
aandegshkwenh	crow
baag'aakwaanh	chicken
baagaakwenh	chicken
baashkdamoonh	parrot
bbakwaanaajiinh	bat
bbashkwaanaajiinh	bat
bdashkanzhiinh	woodcock
bebiikwaagaanh	camel
bemdaabaazhwenh	driver
bgadoonh	button
biimskodsiinh	snail
biipiigenh	warbler
binoojiinh	child
bnajaanh	nestling
bneshiinh	bird
boodoonh	tadpole
bsijiishkwenh	killdeer
bzhidoonh	sheepshead
dekaashiinh	tourist
dendenh	bullfrog
detbisenh	tire
diindiisiinh	bluejay
ebgoonh	ant
egwaawgoonh	foundling
eknoomaagenh	teacher
en'goonh	ant
esbaanh	raccoon
esbikenh	spider
eshkmegwenh	osprey
ezaawmin'gaanh	orange
ezhaazhaanh	dumpling
gaagaakshiinh	raven
gaakaapshiinh	owl
gaakaasknejiinh	catbird
gaawnzigoonh	merganser
gchi-mshiikenh	tortoise
gechtwaawziinh	millionaire
gekendaasoonh	genius
giigoonh	fish
giizhkenh	cedar
gnigjiinh	carp
godaashiinh	bluegill
gookyenh	elder
goongsenh	chipmunk
gwaagwaashknibiinykenh	grasshopper
gwiingsenh	chipmunk
gyaashkshenh	seagull
jejiibdakiinh	elephant
jidmoonh	squirrel
jigjigaaneshiinh	chickadee
jiichiishkwenh	killdeer
kaahaakwaanh	chicken
kakjiishenh	woodchuck
kiwenziinh	elder
maamaanh	eyebrow
man'soonh	apparition
masdamoonh	snake
maskdamoonh	snake
mdimooyenh	elder
mdwewaajiinh	???
medwewenh	rattler
memaangshenh	mule
memaateshiinh	firefly
memegwenh	woodpecker
memengwaanh	butterfly
memtigningwiishenh	wren
miimiinh	insect
mnaagjiinh	bedbug
mnikwewnisiinh	drunkard
mnoomnikeshiinh	rail
moon'angoonh	flower
mshiikenh	turtle
mskwaadesiinh	turtle
mtig-zhiishiigwenh	chameleon
myagi-baag'aakwaanh	pheasant
mzin'igewaanh	idol
mzinniinh	statue
naabesenh	rooster
naaniisiigziinh	glove
naanooshkeshiinh	hummingbird
ndamaakmeshiinh	monkey
niizhoodenh	twin
nimookaajiinh	dog
ningbinwenh	owl
nmebnenh	sucker
noopmidzhinniinh	bumpkin
oodenaw-bneshiinh	sparrow
oojiigaawesiinh	cricket
paknenh	grasshopper
pichiinh	robin
sa	so
sabkeshiinh	spider
siim'oonh	duck
waa'oonenh	whippoorwill
waa'oonwenh	whippoorwill
waab-gookook'oonh	owl
waabgonoojiinh	mouse
waaboozoonh	rabbit
waagbinwenh	owl
waagshenh	fox
waannashkaanh	prostitute
waasiinh	catfish
waawaabgonoojiinh	mouse
wesiinh	creature
wewenjganoonh	owl
wiinnajiinh	overweight
ya'aanh	who
zaagoonh	monkey
zegbidenh	follower
zenbaanh	ribbon
zaskwaajmenh	leech
zgaskwaajmenh	leech
zgimenh	mosquito
zhaageshiinh	crayfish
zhaangweshiinh	mink
zhaawshko-bneshiinh	bluebird
zhashkoonh	muskrat
zhiishiibenh	duck
zhmaagni-wesiinh	wasp
zhngibenh	grebe
zhoomaan'kenh	penny
zhooshkamgisenh	sled
zhooshksenh	sleigh
zhwaashksenh	sleigh
zoogponniinh	snowman
baakaakwenh	chicken
biiwaabko-bneshiinh	airplane
waabshkoon'giziinh	police
shaageshiinh	crab
mekobmasenh	witch
mekobmasenh	witch
eshkniigaanh	youth
meko-bmasenh	witch
meko-bmasenh	witch
aadaanoonh	dumpling
baag'aakwenh	chicken
bebaabgaanh	pancake
emkooyaanenh	caterpillar
esiinh	clam
gaagiibaajenh	joker
gekaanh	elder
googsenh	frog
jiindiisiinh	bluejay
megwenh	foreigner
memengwenh	butterfly
mookdaasoonh	carpenter
zhegaadenh	coot
moon'gonenh	flicker
pin	potato
baakwaanmish	sumac
bazh	rafter
bgaakmish	oak
bgaanensmin'gaawansh	hazel
bgesaanmin'gaawansh	plum
bgoji-zhgaagwinsh	onion
bookdoowansh	pear
dap	willow
gaagaagwansh	spruce
gaawaakmish	prickly-ash
gchigmiikaanwansh	juniper
maanaagwaakmish	sassafras
menaagwaakmish	sassafras
miinensgaawansh	hawthorn
miinensmin'gaawansh	hawthorn
miizhmish	oak
mkom	ice
moozmish	tree
mshiimnagaawanzh	apple
mshkode-miizhmish	oak
mskomnagaawanzh	raspberry
mtigmish	oak
mtigwaap	bow
niip	elm
ninwanzh	milkweed
sap	net
sinaamish	maple
wiigbimizh	basswood
wiigwaasmish	birch
zasgobmish	willow
zhaaboomnagaawansh	gooseberry
Zhaagnaash	Canadian
zhaashgob	elm
zhgaagwansh	onion
zhgaangwinsh	onion
zhiigmewanzh	maple
zhiishiigmewanzh	maple
zhngop	evergreen
mskwaabiimish	willow
bgaanensmin'gaawansh	hazel
ninwinshk	milkweed
wiigop	bark
zhgaagwinsh	onion
zaat	poplar
gchi-mekdekonye	pope
aabtooshkin	half
aadsookaan	legend
aagam	snowshoe
aamoo	bee
aan'konaans	cracker
aanak	thrasher
Aanmaa	German
aanzhenii	angel
aapda'aagan	drudge
aazhoon'kogan	suspender
aazmagmaabzowin	suspender
abwi	paddle
abwiins	fan
Anishinaabe	Aboriginal
Anishnaabekwe	Woman
baagaakogaans	splint
baagaakogan	splint
baagaak'igan	splint
baagaakwigan	splint
baapaagi-shki'aa	new
baapaagi-shki-daabaan	car
baapaas-ya'aawish	dude
baapaasaandip	director
baapaase	woodpecker
baashkzigan	penis
baataazwin	sin
bagnaa	cornbread
bbaamgaajgan	top
bbiig-makii	toad
bebiins	baby
bemnaagnekwe	waitress
beshiishknaamag	husk
beshkwe	nighthawk
bezhgoobii'gan	one
bezhgoognzhii	horse
bgaanens	peanut
bganch	dimwit
bgand'igan	thresher
bgesaan	peach
bgesaan	plum
bgii	few
bgoj-nishnaabens	elf
biidiins	chick
biijmaagzens	smelt
biimskwaasjigan	propeller
biimskwaasjigan	fan
biimte'gan	wheel
biitoojiishkwegnigan	pie
biiwaabko-bezhgoogzhii	tractor
biiwyaans	wool
biiwyens	piece
Biiyen	Peter
binoojiins	baby
bkweg'asaan	chip
bkwezhgaans	cookie
bkwezhgan	bread
bmiboojgan	plow
bmidoosh	caterpillar
bmidsaa	rafter
bmikwaan	gunwhale
Bnadiin	Bernadine
bnagzigan	kernel
bne	grouse
bngii	few
bngwaashens	blackfly
Boodewaadmii	Potawatomi
bookdoonsh	pear
boonse	hawk
boonse	hawk
bshagjiit	jerk
bwi	propeller
bwiins	fan
bwiins	fan
bzaan	burdock
bzhikiins	calf
daabaan	car
daabaanens	sled
daabyaan	car
daajgo'on	fish
daashkboojgan	sawmill
Daawaa	Odawa
daaweniniikwe	clerk
daaweniniikwe	clerk
damnawaagan	doll
datgaagmin	blackberry
dba'genshiish	inchworm
dba'giiswaan	clock
dba'giiswaanens	watch
dbaaknigeniniikwe	judge
dbaaknigeniniikwe	judge
dende	bullfrog
deshkan	antler
dewe'gan	drum
dkonwewniniikwe	officer
dkonwewniniikwe	officer
ebgoons	ant
empaaya	umpire
en'goons	ant
esban	raccoon
eshkan	chisel
ezgaa	tick
gaa	pickerel
gaandnigan	cart
gaashkbaajgan	grader
gaawnzigoons	merganser
gaawye	quill
gaazhak	cat
gaazhgens	kitten
gashkmansii	kingfisher
gawaak	walleye
gchi'aa	celebrity
gchi-aawdaas-daabaan	truck
gchi-dende	bullfrog
Gchi-mookmaan	American
gchi-nshinaabe	elder
gchi-ginii	tomato
gchitwaa-kwe	lady
gdagaakoons	fawn
gechtwaawziin-kwe	millionairess
gekekoons	hawk
gete'aa	antique
ggiibaach	clown
giisoo-mzin'igan	calendar
giiwniijaagan	child
giizhik	cedar
gimaa	chief
gimaakwe	queen
gimniijaagan	child
gindaaswin	number
gnoodmaageniniikwe	attorney
gnoodmaageniniikwe	attorney
gnoozhe	pike
goojmin	apple
gookook'oo	owl
gookoosh	pig
gookooshens	piglet
goon	snow
goonens	snowflake
gwaagwaashknejiins	sparrow
gwiingos	chipmunk
gwiingwiish	bluejay
agwiinjiwii-naagan	float
gwiiwzens	boy
gyaashkshens	tern
Gzhe-mnidoo	Deity
Jibwe	Ojibwa
jiibyedaabaan	hearse
jiiskiiwniniikwe	conjuror
jiiskiiwniniikwe	conjuror
kagoo	goose
kakjiish	groundhog
kanaak-pwaagan	pipe
kecha	catcher
kewis	herring
kinoomaagewniniikwe	teacher
kinoomaagewniniikwe	teacher
konaans	peel
koojiins	louse
koojiish	louse
kosmaan	squash
kwezens	girl
kwezhenzhish	mischievous
m'iingan	wolf
maamaateshiins	firefly
maanaabekwe	nymph
maannoons	ironwood
maanshiins	fawn
maantaanish	sheep
maantaanshens	lamb
maanten'shiins	lamb
maantenis	sheep
maashtaan'shiiwniniikwe	shepherdess
maashtaanish	sheep
maazhi-gnoozhe	muskelunge
maazhi-nmegos	salmon
magkii	frog
mandaagkwe	lady
mbaasjigan	airplane
mbadnis	button
mbes	base
mdaamin	corn
mdaasbii'gan	ten
mdaasoobii'gan	ten
medaa-Nishnaabe	outsider
medaa-nishnaabe	wildman
mekdewkon'ye	priest
mekdewkon'yekwe	nun
meme	woodpecker
memsaadkon'gwiigaans	swallow
memskon'gwiigaans	blackbird
mgizwaash	eagle
miigon	feather
miimii	pigeon
miimiins	mayfly
miinens	berry
miishaaboojiinaagan	eyelash
miishgondaagan	bearded
miishko-zhgaagwiizhiins	chive
mijigekekoo	owl
misksii	waterbug
mji-gnoozhe	muskelunge
mji-mnidoo	devil
mjigaawan	glove
mjiikwewis	daughter
mjiikwis	son
mjikaawan	mitten
mjikaawan	mitten
mjinkaawan	mitten
mkade-pakne	cricket
mkade-wiiyaas	man
mkadeyaas	man
mkadeyaas-kwe	woman
mkizin	tire
mkomiins	icicle
mkwa	bear
mnaagjiis	stinkbug
mnidoo	spirit
mnidoomin	bead
mnidoomnens	bead
mnidoons	bug
mnidoosh	caterpillar
mnidooshens	gnat
moose	caterpillar
mooshens	blackfly
mooshkas	unknown.word
mooshwen	shawl
mooshweniigaans	handkerchief
mooshweniigin	curtain
mooskadoo	turtle
moowjikese	cowbird
mshibzhii	lion
Mshibzhii	Lynx
mshiiknaakoons	turtle
mshiimin	apple
mshiimnens	slice
mshkikiininiikwe	nurse
mshkikiininiikwe	nurse
mshkawmin'gizi	corn
mshkikiins	pill
mshkode-daabaan	train
mshkode-jiimaan	steamboat
mskodiismin	bean
mskomin	raspberry
mskwaabiimnagoons	osier
mskwaabiimzhiins	osier
mskwaandip	copperhead
mtigwaabiins	pole
mwinaans	owl
myagnishnaabe	foreigner
mzaan	burdock
mzay	hake
mzhaaboos	goat
mzhiwens	rabbit
mzhwe	rabbit
mzinchigan	picture
mzise	turkey
na'aa	lose
naabese	rooster
naabesmosh	dog
naabkawaagan	jewelry
Naadwe	Iroquois
naamaatgookeshiins	wren
naanoobii'gan	five
nam'e-kwe	nun
nangoons	star
nawendaagan	kin
nbaagni-mnidoons	bug
nbagga'gan	tie
nbagnaa	bread
Nenbozhoo	Nenabosh
nenookaashiins	hummingbird
nenooshkaashiins	hummingbird
nepaajnikesens	mole
ngodwaasbii'gan	six
ngodwaasoobii'gan	six
ni'aa	who
niibmin	cranberry
niiwoobii'gan	four
niizhoobii'gan	two
niizhwaasoobii'gan	seven
Nimkii	Thunderer
nimoons	puppy
nimosh	dog
nimshens	puppy
ninshib	duck
nishnaabe	person
Nishnaabe	Aboriginal
Nishnaabe-kwe	Woman
nme	sturgeon
nmebin	carp
nmegos	trout
nmegshens	trout
noodaagan	messenger
nshwaasoobii'gan	eight
nsoobii'gan	three
ntamoozhaan	firstborn
oo'oomsii	owl
oojii	fly
oojiins	fly
ookaan	livestock
ookwe	maggot
pa'iins	elf
